"Time","opctyngrppub01 : Actives"
2022-05-31 20:00:00,203
2022-05-31 22:00:00,158
2022-06-01 00:00:00,2900
2022-06-01 02:00:00,7875
2022-06-01 04:00:00,5155
2022-06-01 06:00:00,172
2022-06-01 08:00:00,360
2022-06-01 10:00:00,628
2022-06-01 12:00:00,517
2022-06-01 14:00:00,444
2022-06-01 16:00:00,495
2022-06-01 18:00:00,330
2022-06-01 20:00:00,192
2022-06-01 22:00:00,146
2022-06-02 00:00:00,1487
2022-06-02 02:00:00,6228
2022-06-02 04:00:00,5108
2022-06-02 06:00:00,171
2022-06-02 08:00:00,380
2022-06-02 10:00:00,650
2022-06-02 12:00:00,553
2022-06-02 14:00:00,500
2022-06-02 16:00:00,506
2022-06-02 18:00:00,348
2022-06-02 20:00:00,219
2022-06-02 22:00:00,188
2022-06-03 00:00:00,1437
2022-06-03 02:00:00,6080
2022-06-03 04:00:00,5129
2022-06-03 06:00:00,168
2022-06-03 08:00:00,379
2022-06-03 10:00:00,642
2022-06-03 12:00:00,501
2022-06-03 14:00:00,429
2022-06-03 16:00:00,473
2022-06-03 18:00:00,321
2022-06-03 20:00:00,208
2022-06-03 22:00:00,159
2022-06-04 00:00:00,1434
2022-06-04 02:00:00,6050
2022-06-04 04:00:00,5129
2022-06-04 06:00:00,177
2022-06-04 08:00:00,198
2022-06-04 10:00:00,249
2022-06-04 12:00:00,243
2022-06-04 14:00:00,205
2022-06-04 16:00:00,224
2022-06-04 18:00:00,253
2022-06-04 20:00:00,207
2022-06-04 22:00:00,166
2022-06-05 00:00:00,1446
2022-06-05 02:00:00,5981
2022-06-05 04:00:00,5048
2022-06-05 06:00:00,139
2022-06-05 08:00:00,157
2022-06-05 10:00:00,184
2022-06-05 12:00:00,195
2022-06-05 14:00:00,171
2022-06-05 16:00:00,179
2022-06-05 18:00:00,189
2022-06-05 20:00:00,157
2022-06-05 22:00:00,139
2022-06-06 00:00:00,1414
2022-06-06 02:00:00,5964
2022-06-06 04:00:00,5073
2022-06-06 06:00:00,180
2022-06-06 08:00:00,224
2022-06-06 10:00:00,300
2022-06-06 12:00:00,268
2022-06-06 14:00:00,218
2022-06-06 16:00:00,214
2022-06-06 18:00:00,199
2022-06-06 20:00:00,172
2022-06-06 22:00:00,146
2022-06-07 00:00:00,1421
2022-06-07 02:00:00,5981
2022-06-07 04:00:00,5031
2022-06-07 06:00:00,170
2022-06-07 08:00:00,468
2022-06-07 10:00:00,736
2022-06-07 12:00:00,533
2022-06-07 14:00:00,476
2022-06-07 16:00:00,515
2022-06-07 18:00:00,344
2022-06-07 20:00:00,204
2022-06-07 22:00:00,146
2022-06-08 00:00:00,1451
2022-06-08 02:00:00,6077
2022-06-08 04:00:00,5129
2022-06-08 06:00:00,169
2022-06-08 08:00:00,375
2022-06-08 10:00:00,657
2022-06-08 12:00:00,511
2022-06-08 14:00:00,445
2022-06-08 16:00:00,467
2022-06-08 18:00:00,315
2022-06-08 20:00:00,199
2022-06-08 22:00:00,154
2022-06-09 00:00:00,1448
2022-06-09 02:00:00,6067
2022-06-09 04:00:00,5166
2022-06-09 06:00:00,157
2022-06-09 08:00:00,402
2022-06-09 10:00:00,793
2022-06-09 12:00:00,687
2022-06-09 14:00:00,488
2022-06-09 16:00:00,471
2022-06-09 18:00:00,339
2022-06-09 20:00:00,208
2022-06-09 22:00:00,153
2022-06-10 00:00:00,1478
2022-06-10 02:00:00,13912
2022-06-10 04:00:00,15760
2022-06-10 06:00:00,189
2022-06-10 08:00:00,349
2022-06-10 10:00:00,591
2022-06-10 12:00:00,476
2022-06-10 14:00:00,411
2022-06-10 16:00:00,483
2022-06-10 18:00:00,322
2022-06-10 20:00:00,200
2022-06-10 22:00:00,147
2022-06-11 00:00:00,1447
2022-06-11 02:00:00,6357
2022-06-11 04:00:00,5586
2022-06-11 06:00:00,134
