Time;opctyngrppub01 : Actives;anomalie
04/06/2022 10:00;249;0
04/06/2022 12:00;243;0
04/06/2022 14:00;205;0
04/06/2022 16:00;224;0
04/06/2022 18:00;253;0
04/06/2022 20:00;207;0
04/06/2022 22:00;166;0
05/06/2022 00:00;1446;0
05/06/2022 02:00;5981;0
05/06/2022 04:00;5048;0
05/06/2022 06:00;139;0
05/06/2022 08:00;157;0
05/06/2022 10:00;184;0
05/06/2022 12:00;195;0
05/06/2022 14:00;171;0
05/06/2022 16:00;179;0
05/06/2022 18:00;189;0
05/06/2022 20:00;157;0
05/06/2022 22:00;139;0
06/06/2022 00:00;1414;0
06/06/2022 02:00;5964;0
06/06/2022 04:00;5073;0
06/06/2022 06:00;180;0
06/06/2022 08:00;224;0
06/06/2022 10:00;300;0
06/06/2022 12:00;268;0
06/06/2022 14:00;218;0
06/06/2022 16:00;214;0
06/06/2022 18:00;199;0
06/06/2022 20:00;172;0
06/06/2022 22:00;146;0
07/06/2022 00:00;1421;0
07/06/2022 02:00;5981;0
07/06/2022 04:00;5031;0
07/06/2022 06:00;170;0
07/06/2022 08:00;468;0
07/06/2022 10:00;736;0
07/06/2022 12:00;533;0
07/06/2022 14:00;476;0
07/06/2022 16:00;515;0
07/06/2022 18:00;344;0
07/06/2022 20:00;204;0
07/06/2022 22:00;146;0
08/06/2022 00:00;1451;0
08/06/2022 02:00;6077;0
08/06/2022 04:00;5129;0
08/06/2022 06:00;169;0
08/06/2022 08:00;375;0
08/06/2022 10:00;657;0
08/06/2022 12:00;511;0
08/06/2022 14:00;445;0
08/06/2022 16:00;467;0
08/06/2022 18:00;315;0
08/06/2022 20:00;199;0
08/06/2022 22:00;154;0
09/06/2022 00:00;1448;0
09/06/2022 02:00;6067;0
09/06/2022 04:00;5166;0
09/06/2022 06:00;157;0
09/06/2022 08:00;402;0
09/06/2022 10:00;793;0
09/06/2022 12:00;687;0
09/06/2022 14:00;488;0
09/06/2022 16:00;471;0
09/06/2022 18:00;339;0
09/06/2022 20:00;208;0
09/06/2022 22:00;153;0
10/06/2022 00:00;1478;0
10/06/2022 02:00;13912;1
10/06/2022 04:00;15760;1
10/06/2022 06:00;189;0
10/06/2022 08:00;349;0
10/06/2022 10:00;591;0
